GOID,ONTOLOGY,TERM,LINK
GO:0034654,biological_process,nucleobase-containing compound biosynthetic process,http://purl.obolibrary.org/obo/GO_0034654
GO:0034641,biological_process,cellular nitrogen compound metabolic process,http://purl.obolibrary.org/obo/GO_0034641
GO:0007049,biological_process,cell cycle,http://purl.obolibrary.org/obo/GO_0007049
GO:0007097,biological_process,nuclear migration,http://purl.obolibrary.org/obo/GO_0007097
GO:0046688,biological_process,response to copper ion,http://purl.obolibrary.org/obo/GO_0046688
GO:0009888,biological_process,tissue development,http://purl.obolibrary.org/obo/GO_0009888
GO:0009856,biological_process,pollination,http://purl.obolibrary.org/obo/GO_0009856
GO:0009790,biological_process,embryo development,http://purl.obolibrary.org/obo/GO_0009790
GO:0009793,biological_process,embryo development ending in seed dormancy,http://purl.obolibrary.org/obo/GO_0009793
GO:0009791,biological_process,post-embryonic development,http://purl.obolibrary.org/obo/GO_0009791
GO:0071705,biological_process,nitrogen compound transport,http://purl.obolibrary.org/obo/GO_0071705
GO:0071704,biological_process,organic substance metabolic process,http://purl.obolibrary.org/obo/GO_0071704
GO:0071702,biological_process,organic substance transport,http://purl.obolibrary.org/obo/GO_0071702
GO:0007154,biological_process,cell communication,http://purl.obolibrary.org/obo/GO_0007154
GO:0007165,biological_process,signal transduction,http://purl.obolibrary.org/obo/GO_0007165
GO:0019184,biological_process,nonribosomal peptide biosynthetic process,http://purl.obolibrary.org/obo/GO_0019184
GO:1900619,biological_process,acetate ester metabolic process,http://purl.obolibrary.org/obo/GO_1900619
GO:0071495,biological_process,cellular response to endogenous stimulus,http://purl.obolibrary.org/obo/GO_0071495
GO:0009416,biological_process,response to light stimulus,http://purl.obolibrary.org/obo/GO_0009416
GO:0009409,biological_process,response to cold,http://purl.obolibrary.org/obo/GO_0009409
GO:0009407,biological_process,toxin catabolic process,http://purl.obolibrary.org/obo/GO_0009407
GO:0010467,biological_process,gene expression,http://purl.obolibrary.org/obo/GO_0010467
GO:0009451,biological_process,RNA modification,http://purl.obolibrary.org/obo/GO_0009451
GO:0022414,biological_process,reproductive process,http://purl.obolibrary.org/obo/GO_0022414
GO:0034470,biological_process,ncRNA processing,http://purl.obolibrary.org/obo/GO_0034470
GO:0046483,biological_process,heterocycle metabolic process,http://purl.obolibrary.org/obo/GO_0046483
GO:0046417,biological_process,chorismate metabolic process,http://purl.obolibrary.org/obo/GO_0046417
GO:0046434,biological_process,organophosphate catabolic process,http://purl.obolibrary.org/obo/GO_0046434
GO:0022607,biological_process,cellular component assembly,http://purl.obolibrary.org/obo/GO_0022607
GO:0009636,biological_process,response to toxic substance,http://purl.obolibrary.org/obo/GO_0009636
GO:0009628,biological_process,response to abiotic stimulus,http://purl.obolibrary.org/obo/GO_0009628
GO:0009642,biological_process,response to light intensity,http://purl.obolibrary.org/obo/GO_0009642
GO:0009646,biological_process,response to absence of light,http://purl.obolibrary.org/obo/GO_0009646
GO:0009611,biological_process,response to wounding,http://purl.obolibrary.org/obo/GO_0009611
GO:0009607,biological_process,response to biotic stimulus,http://purl.obolibrary.org/obo/GO_0009607
GO:0009605,biological_process,response to external stimulus,http://purl.obolibrary.org/obo/GO_0009605
GO:0009620,biological_process,response to fungus,http://purl.obolibrary.org/obo/GO_0009620
